AAPL,MSI,SBUX
60.9014,59.87,34.51
59.8557,59.98,33.83
62.9299,56.04,33.305
62.6428,54.25,34.085
62.9985,54.26,36.68
63.9699,54.01,36.225
64.7599,54.35,35.965
64.6471,54.83,35.6445
65.2394,55.32,36.74
66.0771,56.02,37.115
67.0642,56.1,36.985
66.4642,56.4,36.4
66.4256,56.48,36.095
65.8585,57.13,36.47
64.9214,57.36,36.4
66.7656,57.44,36.465
69.9385,57.84,36.32
71.2142,57.71,35.925
71.1299,56.96,35.37
71.7614,57.15,35.355
72.5342,57.09,35.145
71.5814,57.05,35.33
71.7656,56.06,35.3565
71.8514,56.33,35.95
71.5742,56.74,35.985
71.8528,56.55,35.94
69.7985,56.12,35.08
70.1279,56.39,35.48
70.2428,56.19,35.59
69.6022,56.01,35.26
69.7971,56.28,35.8
71.2415,56.08,36.07
70.7528,56.17,36.025
71.1742,56.47,35.785
72.3099,57.59,36.22
70.6628,57.37,37.1075
66.8156,57.25,37.695
67.5271,57.5,37.835
66.4142,57.46,37.785
64.3028,57.81,37.62
65.0456,58.28,38.02
66.3828,59.26,38.665
67.4714,59.69,38.175
66.7728,60.39,38.06
70.0914,60.37,37.68
69.8714,59.99,38.275
68.7899,59.85,38.17
69.4599,59.87,38.59
68.9642,59.75,38.665
68.1071,59.38,38.485
69.7085,60.89,38.58
69.9371,60.7,38.595
69.0585,60.56,38.435
69.0042,61.14,38.7
69.6785,60.89,38.4305
68.7056,59.62,37.765
69.5125,59.39,37.63
69.9482,60.61,38.56
70.4016,60.52,38.91
70.8628,61.03,39.05
71.2399,60.49,38.355
71.5876,60.71,39.02
72.0714,60.92,39.3675
72.6985,60.81,39.655
74.4802,61.18,39.73
74.2667,60.43,40.45
74.9942,62.4,40.025
75.9871,62.51,39.525
75.1368,62.99,39.98
75.6965,62.44,39.355
73.8111,62.73,39.81
74.9851,62.25,40.415
74.6716,62.52,40.525
74.2899,62.39,40.185
75.2499,62.71,40.185
75.0641,62.68,40.995
74.4171,62.65,40.565
73.2131,62.49,39.535
74.3656,63.12,40.6
74.1496,63.51,40.495
74.2871,64.24,40.3075
74.3762,64.45,40.7305
75.4514,64.58,40.57
74.9986,65.57,40.595
74.0898,65.42,40.27
74.2214,64.61,39.96
73.5714,64.58,39.845
74.4479,65.41,40.765
74.2571,65.88,40.675
74.8199,65.79,40.355
76.1999,65.57,40.755
77.9942,65.5,40.81
79.4385,65.88,40.73
78.7471,65.66,40.535
80.9031,65.79,40.275
80.7142,64.93,39.75
81.1286,65.23,39.86
80.0028,66.18,39.97
80.9185,65.79,39.865
80.7928,65.41,38.69
80.1942,64.6,38.2
80.0771,64.86,38.24
79.2042,65.05,38.175
79.6428,65.36,38.23
79.2842,65.52,38.045
78.6813,66.16,38.84
77.7799,65.85,38.575
78.4314,65.61,38.83
81.4413,66.78,39.16
81.0956,67.1,39.285
80.5571,67.18,39.44
80.0128,67.33,39.285
79.2171,67.25,39.275
80.1456,67.5,39.195
79.0185,66.33,38.585
77.2828,66.2,38.475
77.7042,65.92,38.085
77.1481,66.19,38.605
77.6371,65.99,39.015
76.6455,66.5,38.8
76.1342,66.15,38.835
76.5328,65.49,37.56
78.0556,66.35,37.73
79.6228,65.62,38.095
79.1785,65.81,37.645
77.2385,66.1,37.45
78.4385,67.11,36.825
78.7871,64.51,36.8
79.4542,65.34,36.695
78.0099,64.42,37.49
78.6428,64.43,37.105
72.3571,64.34,36.945
71.5356,63.98,35.78
71.3974,64.91,35.955
71.5142,63.8,35.56
71.6471,62.72,34.485
72.6842,62.99,35.325
73.2271,62.89,35.245
73.2156,63.4,36.18
74.2399,64.6,37.0175
75.5699,65.08,37.4
76.5656,65.03,37.25
76.5599,65.78,36.955
77.7756,65.67,37.345
77.7128,65.61,37.515
77.9985,65.78,36.985
76.7671,64.93,36.66
75.8785,65.22,36.775
75.0356,65.02,36.28
75.3642,64.96,36.28
74.5799,65.1,35.275
73.9071,65.45,35.89
75.3814,65.9,36.095
75.1771,66.2,35.48
75.3942,65.98,35.235
75.8914,66.76,35.83
76.0514,66.33,35.65
75.8214,66.57,36.345
75.7771,66.64,36.535
75.8456,66.43,36.78
76.5842,66.08,37.515
76.6585,65.02,37.815
75.8071,64.21,37.215
74.9556,63.67,37.135
75.2485,65.08,37.09
75.9142,65.72,37.3
75.8942,65.7,37.955
75.5285,66.66,38.4775
76.1242,66.81,38.355
77.0271,66.05,37.885
77.8556,66.18,37.305
77.1114,65.16,36.77
76.7799,64.36,36.7
76.6942,64.3,36.85
76.6771,64.29,36.69
77.3785,64.91,37.005
77.5071,65.1,36.835
76.9699,65.09,36.545
75.9742,64.26,35.775
74.7814,64.43,35.215
74.7771,64.95,35.74
75.7599,65.26,36.24
74.7828,63.99,35.11
74.2299,63.39,34.365
74.5256,63.78,34.655
73.9942,63.37,34.445
74.1442,63.23,35.395
74.9914,63.15,35.075
75.8814,62.51,35.24
75.9569,63.27,35.5745
74.9642,63.29,35.195
81.1099,63.0,35.545
81.7056,62.5,35.725
84.8699,62.64,35.465
84.6185,63.43,35.32
84.2985,63.58,35.31
84.4971,62.65,35.56
84.6542,65.51,35.3
85.8513,66.15,35.46
84.9156,66.4,34.79
84.6185,67.14,34.87
83.9985,67.38,34.79
83.6488,67.26,35.145
84.6899,67.8,35.575
84.8228,67.75,35.58
84.8385,67.2,35.085
84.1171,66.34,34.925
85.3585,66.3,35.47
86.3699,66.88,35.51
86.3871,66.52,35.115
86.6156,66.89,35.2
86.7528,66.63,35.7
87.7328,67.0,35.99
89.3756,67.02,36.83
89.1442,66.93,36.635
90.7685,66.91,36.555
90.4285,67.42,36.62
89.8071,67.4,36.925
91.0771,66.86,37.09
92.1171,67.23,37.335
92.4785,67.17,37.36
92.2242,67.66,37.665
93.7,67.67,37.59
94.25,67.7,37.3
93.86,66.93,37.4
92.29,66.46,36.98
91.28,66.78,37.345
92.2,66.72,37.545
92.08,66.64,37.655
92.18,66.62,37.78
91.86,67.06,38.615
90.91,67.07,38.3
90.83,67.1,38.365
90.28,66.73,38.715
90.36,66.55,39.06
90.9,66.56,39.03
91.98,66.78,38.97
92.93,66.57,38.69
93.52,66.96,39.04
93.48,67.02,39.095
94.03,67.41,39.53
95.968,67.24,39.345
95.35,66.27,39.28
95.39,66.58,39.725
95.035,66.45,39.425
95.22,66.0,39.3
96.45,66.08,39.28
95.32,65.49,39.445
94.78,65.67,39.365
93.0899,64.94,38.62
94.43,65.49,38.97
93.939,65.74,38.805
94.72,66.05,39.37
97.19,65.77,39.57
97.03,65.61,40.225
97.671,65.0,39.37
99.02,65.21,39.18
98.38,64.74,39.325
98.15,64.83,39.45
95.6,63.68,38.84
96.13,64.11,38.49
95.59,64.11,38.765
95.12,61.39,38.395
94.96,61.21,38.565
94.48,61.25,38.355
94.74,62.19,38.81
95.99,61.73,38.935
95.97,61.64,38.91
97.24,62.03,38.62
97.5,61.52,38.31
97.98,61.0,38.455
99.16,60.81,38.795
100.53,61.37,39.06
100.57,61.64,39.015
100.58,61.7,38.735
101.32,61.23,38.64
101.54,61.02,38.985
100.889,60.3,38.895
102.13,59.68,38.96
102.25,59.37,38.905
102.5,59.4,38.905
103.3,59.01,38.74
98.94,58.94,38.395
98.12,58.98,38.58
98.97,58.89,38.975
98.36,61.02,38.835
97.99,61.08,38.56
101.0,61.22,38.605
101.43,61.22,38.06
101.66,61.54,37.735
101.63,61.42,37.46
100.86,61.69,37.545
101.58,61.91,37.67
101.79,62.04,37.865
100.96,61.88,38.035
101.06,61.68,37.3
102.64,61.57,36.9775
101.75,61.8,37.66
97.87,62.24,37.06
100.75,63.42,37.585
100.11,63.18,37.635
100.75,63.28,37.73
99.18,62.34,37.305
99.9,61.03,37.225
99.62,61.3,37.945
99.62,61.5,37.5725
98.75,60.47,37.025
100.8,61.58,37.63
101.02,60.46,37.24
100.73,59.05,37.23
99.81,58.5,36.095
98.75,58.73,36.37
97.54,59.32,36.19
96.26,59.18,36.32
97.67,60.79,36.77
99.76,61.25,37.35
102.47,62.39,37.18
102.99,61.63,37.3
104.83,62.25,37.42
105.22,62.57,37.905
105.11,62.8,37.985
106.74,64.06,38.525
107.34,63.94,38.27
106.98,63.7,38.66
108.0,64.5,37.78
109.4,64.68,38.05
108.6,66.76,38.355
108.86,64.46,38.33
